artifact_role	candidate_id	selection_status	cohort	pair_population	benchmark	pregrouper	scope	requested_scope	resolved_scope	contrast	requested_contrast	resolved_source_contrast	resolved_target_contrast	readout_contrast	availability_status	unavailable_reason	api_infinity_policy	aggregation	model_s	model_t	metric	statistic	n_observations	n_prompts	f_point	f_lo	f_hi
revision_candidate	declared_method_finite_extreme	author_decision_required	paper	open_open	boolq	sentence	user	user	prompt_level_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		finite_extreme	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	F_pred	spearman	3270	3270	0.5122603720640666	0.4872987841652494	0.5368097816402428
revision_candidate	declared_method_finite_extreme	author_decision_required	paper	open_open	boolq	sentence	user	user	prompt_level_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		finite_extreme	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	F_pred	pearson_r2	3270	3270	0.25280594933125233	0.2285075122824273	0.27771722699519635
revision_candidate	declared_method_finite_extreme	author_decision_required	paper	open_open	boolq	sentence	user	user	prompt_level_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		finite_extreme	row_pooled	qwen2.5-0.5b-instruct	llama-3.1-8b-instruct	F_pred	spearman	3270	3270	0.4462115211637524	0.4185403422000003	0.47417510808634544
revision_candidate	declared_method_finite_extreme	author_decision_required	paper	open_open	boolq	sentence	user	user	prompt_level_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		finite_extreme	row_pooled	qwen2.5-0.5b-instruct	llama-3.1-8b-instruct	F_pred	pearson_r2	3270	3270	0.21234939105047954	0.18816275888698633	0.23749444945198925
revision_candidate	declared_method_finite_extreme	author_decision_required	paper	open_open	boolq	sentence	user	user	prompt_level_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		finite_extreme	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-7b-instruct	F_pred	spearman	3270	3270	0.4556477352721686	0.42477322010525637	0.4826213147918354
revision_candidate	declared_method_finite_extreme	author_decision_required	paper	open_open	boolq	sentence	user	user	prompt_level_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		finite_extreme	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-7b-instruct	F_pred	pearson_r2	3270	3270	0.19752261990262657	0.17231733145307007	0.22221447458226798
revision_candidate	declared_method_finite_extreme	author_decision_required	paper	open_open	boolq	sentence	user	user	prompt_level_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		finite_extreme	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-14b-instruct	F_pred	spearman	3270	3270	0.4168533379364167	0.3888223734971768	0.44567449440118817
revision_candidate	declared_method_finite_extreme	author_decision_required	paper	open_open	boolq	sentence	user	user	prompt_level_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		finite_extreme	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-14b-instruct	F_pred	pearson_r2	3270	3270	0.17418772460673754	0.15253435844403934	0.19843945785276812
revision_candidate	declared_method_finite_extreme	author_decision_required	paper	open_hosted	boolq	sentence	user	user	prompt_level_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		finite_extreme	row_pooled	qwen2.5-0.5b-instruct	llama3.1-70b-instruct	F_pred	spearman	3270	3270	0.3625214973005265	0.3311067238983351	0.39206831573432444
revision_candidate	declared_method_finite_extreme	author_decision_required	paper	open_hosted	boolq	sentence	user	user	prompt_level_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		finite_extreme	row_pooled	qwen2.5-0.5b-instruct	llama3.1-70b-instruct	F_pred	pearson_r2	3270	3270	0.12849212352099604	0.10737461020254617	0.15018941160659424
revision_candidate	declared_method_finite_extreme	author_decision_required	paper	open_hosted	boolq	sentence	user	user	prompt_level_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		finite_extreme	row_pooled	qwen2.5-0.5b-instruct	llama3.3-70b-instruct	F_pred	spearman	3270	3270	0.40874684998766364	0.3788190754053057	0.4388238191792339
revision_candidate	declared_method_finite_extreme	author_decision_required	paper	open_hosted	boolq	sentence	user	user	prompt_level_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		finite_extreme	row_pooled	qwen2.5-0.5b-instruct	llama3.3-70b-instruct	F_pred	pearson_r2	3270	3270	0.15481816953908423	0.13356250195059804	0.17883627756791673
revision_candidate	declared_method_finite_extreme	author_decision_required	paper	open_hosted	boolq	sentence	user	user	prompt_level_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		finite_extreme	row_pooled	qwen2.5-0.5b-instruct	llama4-maverick-17b-128e-instruct	F_pred	spearman	3270	3270	0.40698371105653874	0.3775406811530231	0.4353727936560573
revision_candidate	declared_method_finite_extreme	author_decision_required	paper	open_hosted	boolq	sentence	user	user	prompt_level_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		finite_extreme	row_pooled	qwen2.5-0.5b-instruct	llama4-maverick-17b-128e-instruct	F_pred	pearson_r2	3270	3270	0.17804849448597995	0.1557464864137239	0.2015011557805596
revision_candidate	declared_method_finite_extreme	author_decision_required	paper	open_hosted	boolq	sentence	user	user	prompt_level_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		finite_extreme	row_pooled	qwen2.5-0.5b-instruct	gpt-4o	F_pred	spearman	3257	3257	0.41089097561815824	0.38017316794138906	0.44008509373290716
revision_candidate	declared_method_finite_extreme	author_decision_required	paper	open_hosted	boolq	sentence	user	user	prompt_level_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		finite_extreme	row_pooled	qwen2.5-0.5b-instruct	gpt-4o	F_pred	pearson_r2	3257	3257	0.16559852315687368	0.1428356785262087	0.18876951832962813
revision_candidate	declared_method_finite_extreme	author_decision_required	paper	open_hosted	boolq	sentence	user	user	prompt_level_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		finite_extreme	row_pooled	qwen2.5-0.5b-instruct	gpt-4-1	F_pred	spearman	3258	3258	0.40850457608210594	0.3786088945673819	0.4373142389709791
revision_candidate	declared_method_finite_extreme	author_decision_required	paper	open_hosted	boolq	sentence	user	user	prompt_level_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		finite_extreme	row_pooled	qwen2.5-0.5b-instruct	gpt-4-1	F_pred	pearson_r2	3258	3258	0.1382265462035279	0.11719804062388013	0.15932719838984336
revision_candidate	declared_method_finite_extreme	author_decision_required	paper	open_hosted	boolq	sentence	user	user	prompt_level_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		finite_extreme	row_pooled	qwen2.5-0.5b-instruct	gemini-2-5-flash-lite-vertex	F_pred	spearman	3270	3270	0.43638579437190655	0.4071913860249039	0.46583217038691704
revision_candidate	declared_method_finite_extreme	author_decision_required	paper	open_hosted	boolq	sentence	user	user	prompt_level_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		finite_extreme	row_pooled	qwen2.5-0.5b-instruct	gemini-2-5-flash-lite-vertex	F_pred	pearson_r2	3270	3270	0.17802374792449402	0.15491339200227225	0.20213112408327336
revision_candidate	declared_method_finite_extreme	author_decision_required	paper	open_open	boolq	sentence	user	user	prompt_level_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		finite_extreme	row_pooled	qwen2.5-3b-instruct	llama-3.1-8b-instruct	F_pred	spearman	3270	3270	0.8188055106185959	0.8067195974710665	0.8297393937287951
revision_candidate	declared_method_finite_extreme	author_decision_required	paper	open_open	boolq	sentence	user	user	prompt_level_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		finite_extreme	row_pooled	qwen2.5-3b-instruct	llama-3.1-8b-instruct	F_pred	pearson_r2	3270	3270	0.6542954337452508	0.6325295824559619	0.6744631940271631
revision_candidate	declared_method_finite_extreme	author_decision_required	paper	open_open	boolq	sentence	user	user	prompt_level_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		finite_extreme	row_pooled	qwen2.5-3b-instruct	qwen2.5-7b-instruct	F_pred	spearman	3270	3270	0.8357185319945387	0.8248848244773396	0.8461875805688387
revision_candidate	declared_method_finite_extreme	author_decision_required	paper	open_open	boolq	sentence	user	user	prompt_level_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		finite_extreme	row_pooled	qwen2.5-3b-instruct	qwen2.5-7b-instruct	F_pred	pearson_r2	3270	3270	0.6869191131375247	0.6648106454790796	0.7091363779372983
revision_candidate	declared_method_finite_extreme	author_decision_required	paper	open_open	boolq	sentence	user	user	prompt_level_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		finite_extreme	row_pooled	qwen2.5-3b-instruct	qwen2.5-14b-instruct	F_pred	spearman	3270	3270	0.8191543498578231	0.8065938795771004	0.830859550344519
revision_candidate	declared_method_finite_extreme	author_decision_required	paper	open_open	boolq	sentence	user	user	prompt_level_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		finite_extreme	row_pooled	qwen2.5-3b-instruct	qwen2.5-14b-instruct	F_pred	pearson_r2	3270	3270	0.6502569221835791	0.6270866538837921	0.67275988254234
revision_candidate	declared_method_finite_extreme	author_decision_required	paper	open_hosted	boolq	sentence	user	user	prompt_level_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		finite_extreme	row_pooled	qwen2.5-3b-instruct	llama3.1-70b-instruct	F_pred	spearman	3270	3270	0.782396012479828	0.7685612362154677	0.7956499417139044
revision_candidate	declared_method_finite_extreme	author_decision_required	paper	open_hosted	boolq	sentence	user	user	prompt_level_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		finite_extreme	row_pooled	qwen2.5-3b-instruct	llama3.1-70b-instruct	F_pred	pearson_r2	3270	3270	0.5936762722881387	0.5688235575885373	0.6165788470662711
revision_candidate	declared_method_finite_extreme	author_decision_required	paper	open_hosted	boolq	sentence	user	user	prompt_level_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		finite_extreme	row_pooled	qwen2.5-3b-instruct	llama3.3-70b-instruct	F_pred	spearman	3270	3270	0.7988510449270625	0.7857560772405635	0.8112833725604456
revision_candidate	declared_method_finite_extreme	author_decision_required	paper	open_hosted	boolq	sentence	user	user	prompt_level_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		finite_extreme	row_pooled	qwen2.5-3b-instruct	llama3.3-70b-instruct	F_pred	pearson_r2	3270	3270	0.6166756207079561	0.5912291250981481	0.6411232143461965
revision_candidate	declared_method_finite_extreme	author_decision_required	paper	open_hosted	boolq	sentence	user	user	prompt_level_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		finite_extreme	row_pooled	qwen2.5-3b-instruct	llama4-maverick-17b-128e-instruct	F_pred	spearman	3270	3270	0.7814243321838754	0.7677707197508346	0.7944211499381989
revision_candidate	declared_method_finite_extreme	author_decision_required	paper	open_hosted	boolq	sentence	user	user	prompt_level_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		finite_extreme	row_pooled	qwen2.5-3b-instruct	llama4-maverick-17b-128e-instruct	F_pred	pearson_r2	3270	3270	0.6140333772546759	0.5885710719640181	0.6384846380692707
revision_candidate	declared_method_finite_extreme	author_decision_required	paper	open_hosted	boolq	sentence	user	user	prompt_level_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		finite_extreme	row_pooled	qwen2.5-3b-instruct	gpt-4o	F_pred	spearman	3257	3257	0.7763110934541938	0.7617170481999077	0.7900439784848318
revision_candidate	declared_method_finite_extreme	author_decision_required	paper	open_hosted	boolq	sentence	user	user	prompt_level_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		finite_extreme	row_pooled	qwen2.5-3b-instruct	gpt-4o	F_pred	pearson_r2	3257	3257	0.5878632363179553	0.5650296173158718	0.6115159552153918
revision_candidate	declared_method_finite_extreme	author_decision_required	paper	open_hosted	boolq	sentence	user	user	prompt_level_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		finite_extreme	row_pooled	qwen2.5-3b-instruct	gpt-4-1	F_pred	spearman	3258	3258	0.7727654634002912	0.7585687567940742	0.7865848898890637
revision_candidate	declared_method_finite_extreme	author_decision_required	paper	open_hosted	boolq	sentence	user	user	prompt_level_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		finite_extreme	row_pooled	qwen2.5-3b-instruct	gpt-4-1	F_pred	pearson_r2	3258	3258	0.5627343668846646	0.5366601359389076	0.5891673148824204
revision_candidate	declared_method_finite_extreme	author_decision_required	paper	open_hosted	boolq	sentence	user	user	prompt_level_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		finite_extreme	row_pooled	qwen2.5-3b-instruct	gemini-2-5-flash-lite-vertex	F_pred	spearman	3270	3270	0.8074504909781501	0.7945737505849885	0.8199808054963711
revision_candidate	declared_method_finite_extreme	author_decision_required	paper	open_hosted	boolq	sentence	user	user	prompt_level_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		finite_extreme	row_pooled	qwen2.5-3b-instruct	gemini-2-5-flash-lite-vertex	F_pred	pearson_r2	3270	3270	0.6295235766895667	0.6057268808730145	0.653563574469544
