benchmark	pregrouper	cohort	missingness_policy	scope	aggregation	model_s	model_t	metric	statistic	expected_observations	n_observations	n_prompts	observation_coverage	f_point	f_lo	f_hi	n_bootstrap	n_bootstrap_valid	aligned_key_sha256
race	sentence	paper	global_complete_case_mnar	prediction	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	signed_frobenius_r	pearson_r	4934	825	825	0.16720713417105795	0.3509793888707462	0.3098575536914738	0.38758786436296666	500	500	bb39c2d2fc4a8ec99452fbbab44f2b1aedd932bc8338ac64de82b714d19ca319
race	sentence	paper	global_complete_case_mnar	prediction	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	direction_cosine	mean_cosine	4934	825	825	0.16720713417105795	0.2453789192652863	0.20416004834033996	0.2875483170246715	500	500	bb39c2d2fc4a8ec99452fbbab44f2b1aedd932bc8338ac64de82b714d19ca319
race	sentence	paper	global_complete_case_mnar	prediction	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	linear_cka	cka	4934	825	825	0.16720713417105795	0.12782743454135148	0.10026725879897275	0.15963235643666773	500	500	bb39c2d2fc4a8ec99452fbbab44f2b1aedd932bc8338ac64de82b714d19ca319
race	sentence	paper	global_complete_case_mnar	all	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	signed_frobenius_r	pearson_r	145544	18639	825	0.1280643654152696	0.19753480467737458	0.17576270392325283	0.21865956756716243	500	500	51385ad7fc65412a0b97abc35d2d48f0037ab21f612a40fbcc1920f35d7c578e
race	sentence	paper	global_complete_case_mnar	all	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	direction_cosine	mean_cosine	145544	18639	825	0.1280643654152696	0.06409797502651114	0.05029455808614803	0.07614372655476681	500	500	51385ad7fc65412a0b97abc35d2d48f0037ab21f612a40fbcc1920f35d7c578e
race	sentence	paper	global_complete_case_mnar	all	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	linear_cka	cka	145544	18639	825	0.1280643654152696	0.04201809669693365	0.0337740526069604	0.05181521750347474	500	500	51385ad7fc65412a0b97abc35d2d48f0037ab21f612a40fbcc1920f35d7c578e
race	sentence	paper	global_complete_case_mnar	all	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	aitchison_magnitude_r	pearson_r	145544	18639	825	0.1280643654152696	0.4364349297797738	0.41826527332907654	0.4547506237859204	500	500	51385ad7fc65412a0b97abc35d2d48f0037ab21f612a40fbcc1920f35d7c578e
race	sentence	paper	global_complete_case_mnar	all	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	fisher_rao_magnitude_r	pearson_r	145544	18639	825	0.1280643654152696	0.3019832170069333	0.2814607224182043	0.3258826941383896	500	500	51385ad7fc65412a0b97abc35d2d48f0037ab21f612a40fbcc1920f35d7c578e
race	sentence	paper	global_complete_case_mnar	all	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	fisher_local_magnitude_r	pearson_r	145544	18639	825	0.1280643654152696	0.09878875425290973	0.0729016684568304	0.12378846925579164	500	500	51385ad7fc65412a0b97abc35d2d48f0037ab21f612a40fbcc1920f35d7c578e
race	sentence	paper	global_complete_case_mnar	all	prompt_equal	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	signed_frobenius_r	pearson_r	145544	18639	825	0.1280643654152696	0.20876818054619636	0.183970786681893	0.23151624353077407	500	500	51385ad7fc65412a0b97abc35d2d48f0037ab21f612a40fbcc1920f35d7c578e
race	sentence	paper	global_complete_case_mnar	all	prompt_equal	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	direction_cosine	mean_cosine	145544	18639	825	0.1280643654152696	0.07622249611359662	0.06331007000503712	0.08856208172703878	500	500	51385ad7fc65412a0b97abc35d2d48f0037ab21f612a40fbcc1920f35d7c578e
race	sentence	paper	global_complete_case_mnar	all	prompt_equal	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	linear_cka	cka	145544	18639	825	0.1280643654152696	0.04569758833954727	0.03574552671912265	0.057709242090137704	500	500	51385ad7fc65412a0b97abc35d2d48f0037ab21f612a40fbcc1920f35d7c578e
race	sentence	paper	global_complete_case_mnar	all	prompt_equal	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	aitchison_magnitude_r	pearson_r	145544	18639	825	0.1280643654152696	0.4233889314608869	0.4011902030769824	0.44693096491962764	500	500	51385ad7fc65412a0b97abc35d2d48f0037ab21f612a40fbcc1920f35d7c578e
race	sentence	paper	global_complete_case_mnar	all	prompt_equal	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	fisher_rao_magnitude_r	pearson_r	145544	18639	825	0.1280643654152696	0.29435450156119064	0.2705066418965047	0.3211712493784697	500	500	51385ad7fc65412a0b97abc35d2d48f0037ab21f612a40fbcc1920f35d7c578e
race	sentence	paper	global_complete_case_mnar	all	prompt_equal	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	fisher_local_magnitude_r	pearson_r	145544	18639	825	0.1280643654152696	0.09322254243392364	0.06522461753981137	0.12076426382433464	500	500	51385ad7fc65412a0b97abc35d2d48f0037ab21f612a40fbcc1920f35d7c578e
race	sentence	paper	global_complete_case_mnar	system	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	signed_frobenius_r	pearson_r	14802	936	592	0.06323469801378193	-0.03466104992946316	-0.07742764545890113	0.009022142387945653	500	500	3bab359b248413ff4b82309794d35425270ef3b1017c60cd7de1b91b484ad9f9
race	sentence	paper	global_complete_case_mnar	system	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	direction_cosine	mean_cosine	14802	936	592	0.06323469801378193	0.01585275145668773	-0.021801978543059534	0.05418350663391668	500	500	3bab359b248413ff4b82309794d35425270ef3b1017c60cd7de1b91b484ad9f9
race	sentence	paper	global_complete_case_mnar	system	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	linear_cka	cka	14802	936	592	0.06323469801378193	0.005123901365866757	0.003086349508078076	0.017150508329490936	500	500	3bab359b248413ff4b82309794d35425270ef3b1017c60cd7de1b91b484ad9f9
race	sentence	paper	global_complete_case_mnar	system	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	aitchison_magnitude_r	pearson_r	14802	936	592	0.06323469801378193	0.2688354617024463	0.21781093425569042	0.324165334074856	500	500	3bab359b248413ff4b82309794d35425270ef3b1017c60cd7de1b91b484ad9f9
race	sentence	paper	global_complete_case_mnar	system	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	fisher_rao_magnitude_r	pearson_r	14802	936	592	0.06323469801378193	0.14705075983516755	0.08193629379580038	0.20675502836742365	500	500	3bab359b248413ff4b82309794d35425270ef3b1017c60cd7de1b91b484ad9f9
race	sentence	paper	global_complete_case_mnar	system	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	fisher_local_magnitude_r	pearson_r	14802	936	592	0.06323469801378193	0.11530743686403563	0.04925819763417904	0.18252323246047145	500	500	3bab359b248413ff4b82309794d35425270ef3b1017c60cd7de1b91b484ad9f9
race	sentence	paper	global_complete_case_mnar	system	prompt_equal	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	signed_frobenius_r	pearson_r	14802	936	592	0.06323469801378193	-0.038426471729053745	-0.08241169818695017	0.003414047286341462	500	500	3bab359b248413ff4b82309794d35425270ef3b1017c60cd7de1b91b484ad9f9
race	sentence	paper	global_complete_case_mnar	system	prompt_equal	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	direction_cosine	mean_cosine	14802	936	592	0.06323469801378193	0.0007722449238261147	-0.03574865310971538	0.04155949012237598	500	500	3bab359b248413ff4b82309794d35425270ef3b1017c60cd7de1b91b484ad9f9
race	sentence	paper	global_complete_case_mnar	system	prompt_equal	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	linear_cka	cka	14802	936	592	0.06323469801378193	0.004641393010870549	0.003095986454508091	0.0177594736125984	500	500	3bab359b248413ff4b82309794d35425270ef3b1017c60cd7de1b91b484ad9f9
race	sentence	paper	global_complete_case_mnar	system	prompt_equal	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	aitchison_magnitude_r	pearson_r	14802	936	592	0.06323469801378193	0.267341436651968	0.21643275583919955	0.3254975930251964	500	500	3bab359b248413ff4b82309794d35425270ef3b1017c60cd7de1b91b484ad9f9
race	sentence	paper	global_complete_case_mnar	system	prompt_equal	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	fisher_rao_magnitude_r	pearson_r	14802	936	592	0.06323469801378193	0.14482543872227127	0.08350473011766103	0.21017745922841846	500	500	3bab359b248413ff4b82309794d35425270ef3b1017c60cd7de1b91b484ad9f9
race	sentence	paper	global_complete_case_mnar	system	prompt_equal	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	fisher_local_magnitude_r	pearson_r	14802	936	592	0.06323469801378193	0.1081433859532695	0.046082906402491235	0.1734857815516271	500	500	3bab359b248413ff4b82309794d35425270ef3b1017c60cd7de1b91b484ad9f9
race	sentence	paper	global_complete_case_mnar	user	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	signed_frobenius_r	pearson_r	130742	17703	825	0.1354040782610026	0.20105445355172935	0.18077105282070505	0.21976115186489661	500	500	f4dfff463588ac5ae026c9a5714d6982ed65510e3f0ce476ecc721a02f2aa318
race	sentence	paper	global_complete_case_mnar	user	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	direction_cosine	mean_cosine	130742	17703	825	0.1354040782610026	0.06664881552028931	0.05433000510605524	0.08036772872385589	500	500	f4dfff463588ac5ae026c9a5714d6982ed65510e3f0ce476ecc721a02f2aa318
race	sentence	paper	global_complete_case_mnar	user	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	linear_cka	cka	130742	17703	825	0.1354040782610026	0.04334546808485778	0.03531699460820399	0.053035684978996	500	500	f4dfff463588ac5ae026c9a5714d6982ed65510e3f0ce476ecc721a02f2aa318
race	sentence	paper	global_complete_case_mnar	user	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	aitchison_magnitude_r	pearson_r	130742	17703	825	0.1354040782610026	0.4370946727017345	0.4175401142910604	0.45642026701750804	500	500	f4dfff463588ac5ae026c9a5714d6982ed65510e3f0ce476ecc721a02f2aa318
