benchmark	pregrouper	scope	representation	aggregation	model_s	model_t	metric	statistic	missingness_policy	expected_observations	n_observations	n_prompts	observation_coverage	f_point	f_lo	f_hi
race	sentence	all	all_pairs	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.284409958278765	0.2701732280925928	0.2998368302238012
race	sentence	all	all_pairs	row_pooled	qwen2.5-0.5b-instruct	llama-3.1-8b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.33089343654762915	0.3154687521948679	0.34718186203915996
race	sentence	all	all_pairs	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-7b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.286774128367148	0.27134897052359147	0.30046187260006985
race	sentence	all	all_pairs	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-14b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.2747630118816233	0.26262006778538793	0.2890056400975616
race	sentence	all	all_pairs	row_pooled	qwen2.5-3b-instruct	llama-3.1-8b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.67799621754745	0.666746784041804	0.6880252090817066
race	sentence	all	all_pairs	row_pooled	qwen2.5-3b-instruct	qwen2.5-7b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.773243663575184	0.7625417140562089	0.7832832874248052
race	sentence	all	all_pairs	row_pooled	qwen2.5-3b-instruct	qwen2.5-14b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.7797976980307454	0.7680621630434394	0.7909224828153087
race	sentence	all	all_pairs	row_pooled	llama-3.1-8b-instruct	qwen2.5-7b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.6823262266474607	0.6733017779626921	0.6933551330541096
race	sentence	all	all_pairs	row_pooled	llama-3.1-8b-instruct	qwen2.5-14b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.7030460768744616	0.6925689710726013	0.7138954314997162
race	sentence	all	all_pairs	row_pooled	qwen2.5-7b-instruct	qwen2.5-14b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.8583954471793169	0.8513931179048981	0.865541441644388
race	sentence	all	all_pairs	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	F_attr_rv	rv	pair_specific_complete_case	145544	145544	4934	1.0	0.07186011337396059	0.06703759714341127	0.07707154101128436
race	sentence	all	all_pairs	row_pooled	qwen2.5-0.5b-instruct	llama-3.1-8b-instruct	F_attr_rv	rv	pair_specific_complete_case	145544	145544	4934	1.0	0.1646253236680755	0.15606351072181057	0.1736857210603189
race	sentence	all	all_pairs	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-7b-instruct	F_attr_rv	rv	pair_specific_complete_case	145544	145544	4934	1.0	0.10172897511770668	0.09565479764149916	0.10874710292060369
race	sentence	all	all_pairs	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-14b-instruct	F_attr_rv	rv	pair_specific_complete_case	145544	145544	4934	1.0	0.06204133477733863	0.05718620648175096	0.06703673627897323
race	sentence	all	all_pairs	row_pooled	qwen2.5-3b-instruct	llama-3.1-8b-instruct	F_attr_rv	rv	pair_specific_complete_case	145544	145544	4934	1.0	0.3267729517013571	0.31835762060942513	0.3355324238961758
race	sentence	all	all_pairs	row_pooled	qwen2.5-3b-instruct	qwen2.5-7b-instruct	F_attr_rv	rv	pair_specific_complete_case	145544	145544	4934	1.0	0.39423695892702154	0.3855695538902711	0.40339117129675395
race	sentence	all	all_pairs	row_pooled	qwen2.5-3b-instruct	qwen2.5-14b-instruct	F_attr_rv	rv	pair_specific_complete_case	145544	145544	4934	1.0	0.38715755790308176	0.37785056029322917	0.39722917074319347
race	sentence	all	all_pairs	row_pooled	llama-3.1-8b-instruct	qwen2.5-7b-instruct	F_attr_rv	rv	pair_specific_complete_case	145544	145544	4934	1.0	0.43340234265418576	0.42407628545593423	0.44298977632574366
race	sentence	all	all_pairs	row_pooled	llama-3.1-8b-instruct	qwen2.5-14b-instruct	F_attr_rv	rv	pair_specific_complete_case	145544	145544	4934	1.0	0.38099296646458874	0.37245644089282215	0.38934362139397805
race	sentence	all	all_pairs	row_pooled	qwen2.5-7b-instruct	qwen2.5-14b-instruct	F_attr_rv	rv	pair_specific_complete_case	145544	145544	4934	1.0	0.5884583882825581	0.5799847288717378	0.5963526177684786
race	sentence	system	all_pairs	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.284409958278765	0.2701732280925928	0.2998368302238012
race	sentence	system	all_pairs	row_pooled	qwen2.5-0.5b-instruct	llama-3.1-8b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.33089343654762915	0.3154687521948679	0.34718186203915996
