benchmark	pregrouper	scope	representation	aggregation	model_s	model_t	metric	statistic	missingness_policy	expected_observations	n_observations	n_prompts	observation_coverage	f_point	f_lo	f_hi
race	sentence	system	all_pairs	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-7b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.286774128367148	0.27134897052359147	0.30046187260006985
race	sentence	system	all_pairs	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-14b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.2747630118816233	0.26262006778538793	0.2890056400975616
race	sentence	system	all_pairs	row_pooled	qwen2.5-3b-instruct	llama-3.1-8b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.67799621754745	0.666746784041804	0.6880252090817066
race	sentence	system	all_pairs	row_pooled	qwen2.5-3b-instruct	qwen2.5-7b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.773243663575184	0.7625417140562089	0.7832832874248052
race	sentence	system	all_pairs	row_pooled	qwen2.5-3b-instruct	qwen2.5-14b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.7797976980307454	0.7680621630434394	0.7909224828153087
race	sentence	system	all_pairs	row_pooled	llama-3.1-8b-instruct	qwen2.5-7b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.6823262266474607	0.6733017779626921	0.6933551330541096
race	sentence	system	all_pairs	row_pooled	llama-3.1-8b-instruct	qwen2.5-14b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.7030460768744616	0.6925689710726013	0.7138954314997162
race	sentence	system	all_pairs	row_pooled	qwen2.5-7b-instruct	qwen2.5-14b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.8583954471793169	0.8513931179048981	0.865541441644388
race	sentence	system	all_pairs	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	F_attr_rv	rv	pair_specific_complete_case	14802	14802	4934	1.0	0.017794590590763684	0.015132782642631517	0.021299426999952274
race	sentence	system	all_pairs	row_pooled	qwen2.5-0.5b-instruct	llama-3.1-8b-instruct	F_attr_rv	rv	pair_specific_complete_case	14802	14802	4934	1.0	0.06590351518518854	0.06046536710769427	0.07267087866775254
race	sentence	system	all_pairs	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-7b-instruct	F_attr_rv	rv	pair_specific_complete_case	14802	14802	4934	1.0	0.04732959549015029	0.04276745634242462	0.05256850477899754
race	sentence	system	all_pairs	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-14b-instruct	F_attr_rv	rv	pair_specific_complete_case	14802	14802	4934	1.0	0.020414191729344	0.017587633538466103	0.023870899689602765
race	sentence	system	all_pairs	row_pooled	qwen2.5-3b-instruct	llama-3.1-8b-instruct	F_attr_rv	rv	pair_specific_complete_case	14802	14802	4934	1.0	0.20169766415435667	0.1917812602738022	0.21297496935928004
race	sentence	system	all_pairs	row_pooled	qwen2.5-3b-instruct	qwen2.5-7b-instruct	F_attr_rv	rv	pair_specific_complete_case	14802	14802	4934	1.0	0.23789301609051075	0.22668492044599972	0.24869914611603247
race	sentence	system	all_pairs	row_pooled	qwen2.5-3b-instruct	qwen2.5-14b-instruct	F_attr_rv	rv	pair_specific_complete_case	14802	14802	4934	1.0	0.31315669150886116	0.2990801862613646	0.32723084416342946
race	sentence	system	all_pairs	row_pooled	llama-3.1-8b-instruct	qwen2.5-7b-instruct	F_attr_rv	rv	pair_specific_complete_case	14802	14802	4934	1.0	0.26853894235526354	0.25590971858915235	0.2809438379643712
race	sentence	system	all_pairs	row_pooled	llama-3.1-8b-instruct	qwen2.5-14b-instruct	F_attr_rv	rv	pair_specific_complete_case	14802	14802	4934	1.0	0.17520437971190736	0.16619387187480658	0.18554022450942936
race	sentence	system	all_pairs	row_pooled	qwen2.5-7b-instruct	qwen2.5-14b-instruct	F_attr_rv	rv	pair_specific_complete_case	14802	14802	4934	1.0	0.3116448175223753	0.3009871913079373	0.32286286594846386
race	sentence	user	all_pairs	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.284409958278765	0.2701732280925928	0.2998368302238012
race	sentence	user	all_pairs	row_pooled	qwen2.5-0.5b-instruct	llama-3.1-8b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.33089343654762915	0.3154687521948679	0.34718186203915996
race	sentence	user	all_pairs	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-7b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.286774128367148	0.27134897052359147	0.30046187260006985
race	sentence	user	all_pairs	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-14b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.2747630118816233	0.26262006778538793	0.2890056400975616
race	sentence	user	all_pairs	row_pooled	qwen2.5-3b-instruct	llama-3.1-8b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.67799621754745	0.666746784041804	0.6880252090817066
race	sentence	user	all_pairs	row_pooled	qwen2.5-3b-instruct	qwen2.5-7b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.773243663575184	0.7625417140562089	0.7832832874248052
race	sentence	user	all_pairs	row_pooled	qwen2.5-3b-instruct	qwen2.5-14b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.7797976980307454	0.7680621630434394	0.7909224828153087
race	sentence	user	all_pairs	row_pooled	llama-3.1-8b-instruct	qwen2.5-7b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.6823262266474607	0.6733017779626921	0.6933551330541096
race	sentence	user	all_pairs	row_pooled	llama-3.1-8b-instruct	qwen2.5-14b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.7030460768744616	0.6925689710726013	0.7138954314997162
race	sentence	user	all_pairs	row_pooled	qwen2.5-7b-instruct	qwen2.5-14b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.8583954471793169	0.8513931179048981	0.865541441644388
race	sentence	user	all_pairs	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	F_attr_rv	rv	pair_specific_complete_case	130742	130742	4934	1.0	0.08126073347869889	0.07575427908665486	0.08729696039345722
race	sentence	user	all_pairs	row_pooled	qwen2.5-0.5b-instruct	llama-3.1-8b-instruct	F_attr_rv	rv	pair_specific_complete_case	130742	130742	4934	1.0	0.18243338308104343	0.17252773271172422	0.19257762261100886
race	sentence	user	all_pairs	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-7b-instruct	F_attr_rv	rv	pair_specific_complete_case	130742	130742	4934	1.0	0.10992619087109443	0.10372916356685848	0.11743717416536553
race	sentence	user	all_pairs	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-14b-instruct	F_attr_rv	rv	pair_specific_complete_case	130742	130742	4934	1.0	0.0645760633197957	0.059246194129635166	0.0697915624075116
race	sentence	user	all_pairs	row_pooled	qwen2.5-3b-instruct	llama-3.1-8b-instruct	F_attr_rv	rv	pair_specific_complete_case	130742	130742	4934	1.0	0.3475181971385351	0.3396282110295274	0.35660897823190296
race	sentence	user	all_pairs	row_pooled	qwen2.5-3b-instruct	qwen2.5-7b-instruct	F_attr_rv	rv	pair_specific_complete_case	130742	130742	4934	1.0	0.42132540742370256	0.4118498301566123	0.4312657373785664
race	sentence	user	all_pairs	row_pooled	qwen2.5-3b-instruct	qwen2.5-14b-instruct	F_attr_rv	rv	pair_specific_complete_case	130742	130742	4934	1.0	0.405894363905284	0.3959537567655321	0.4162408379025512
race	sentence	user	all_pairs	row_pooled	llama-3.1-8b-instruct	qwen2.5-7b-instruct	F_attr_rv	rv	pair_specific_complete_case	130742	130742	4934	1.0	0.4480519380915858	0.43821879856446855	0.4579360339446252
race	sentence	user	all_pairs	row_pooled	llama-3.1-8b-instruct	qwen2.5-14b-instruct	F_attr_rv	rv	pair_specific_complete_case	130742	130742	4934	1.0	0.39554685228942016	0.38635933687192453	0.4043058509454698
race	sentence	user	all_pairs	row_pooled	qwen2.5-7b-instruct	qwen2.5-14b-instruct	F_attr_rv	rv	pair_specific_complete_case	130742	130742	4934	1.0	0.6004003883363219	0.5912054364952533	0.6090035599166232
race	sentence	all	anchor_a	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.22211383678584154	0.20436032442698013	0.23965380491168428
race	sentence	all	anchor_a	row_pooled	qwen2.5-0.5b-instruct	llama-3.1-8b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.27419436720765206	0.25383673172619475	0.29616900651001
race	sentence	all	anchor_a	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-7b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.20640747342162036	0.19075946456525278	0.2237341832613173
race	sentence	all	anchor_a	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-14b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.21629137233209278	0.1983703083781617	0.23627066561166296
race	sentence	all	anchor_a	row_pooled	qwen2.5-3b-instruct	llama-3.1-8b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.6539272824838503	0.6380043484305035	0.6692818957418305
race	sentence	all	anchor_a	row_pooled	qwen2.5-3b-instruct	qwen2.5-7b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.7525622885238831	0.7353707771742372	0.7673486223251169
race	sentence	all	anchor_a	row_pooled	qwen2.5-3b-instruct	qwen2.5-14b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.7545699416938713	0.739940224849706	0.7701018376175721
race	sentence	all	anchor_a	row_pooled	llama-3.1-8b-instruct	qwen2.5-7b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.6801435890858181	0.665658912641264	0.6945771500515603
race	sentence	all	anchor_a	row_pooled	llama-3.1-8b-instruct	qwen2.5-14b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.6916819013975329	0.6759766292739783	0.7071223054153788
race	sentence	all	anchor_a	row_pooled	qwen2.5-7b-instruct	qwen2.5-14b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.8580785362391026	0.8472459963154384	0.8682638000748842
race	sentence	all	anchor_a	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	F_attr_rv	rv	pair_specific_complete_case	145544	145544	4934	1.0	0.0462358847275714	0.04291438875985701	0.05020709934101246
race	sentence	all	anchor_a	row_pooled	qwen2.5-0.5b-instruct	llama-3.1-8b-instruct	F_attr_rv	rv	pair_specific_complete_case	145544	145544	4934	1.0	0.08862172977632092	0.08370459855762535	0.09414907662346675
race	sentence	all	anchor_a	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-7b-instruct	F_attr_rv	rv	pair_specific_complete_case	145544	145544	4934	1.0	0.06495260865639144	0.060945225917282686	0.06926886571780297
race	sentence	all	anchor_a	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-14b-instruct	F_attr_rv	rv	pair_specific_complete_case	145544	145544	4934	1.0	0.04318223949284286	0.03974591903578042	0.04678793137903389
race	sentence	all	anchor_a	row_pooled	qwen2.5-3b-instruct	llama-3.1-8b-instruct	F_attr_rv	rv	pair_specific_complete_case	145544	145544	4934	1.0	0.3190889421690431	0.3097276857843172	0.32876344476950436
race	sentence	all	anchor_a	row_pooled	qwen2.5-3b-instruct	qwen2.5-7b-instruct	F_attr_rv	rv	pair_specific_complete_case	145544	145544	4934	1.0	0.4165389914929654	0.40530615824069877	0.4274213392721576
race	sentence	all	anchor_a	row_pooled	qwen2.5-3b-instruct	qwen2.5-14b-instruct	F_attr_rv	rv	pair_specific_complete_case	145544	145544	4934	1.0	0.3866406229762023	0.3748982889318602	0.3984227001055157
race	sentence	all	anchor_a	row_pooled	llama-3.1-8b-instruct	qwen2.5-7b-instruct	F_attr_rv	rv	pair_specific_complete_case	145544	145544	4934	1.0	0.43921420570820463	0.428911268639684	0.44942090759140296
race	sentence	all	anchor_a	row_pooled	llama-3.1-8b-instruct	qwen2.5-14b-instruct	F_attr_rv	rv	pair_specific_complete_case	145544	145544	4934	1.0	0.40012390942424536	0.38849427691105015	0.4112754728358432
race	sentence	all	anchor_a	row_pooled	qwen2.5-7b-instruct	qwen2.5-14b-instruct	F_attr_rv	rv	pair_specific_complete_case	145544	145544	4934	1.0	0.6160030214079661	0.6045470263756556	0.6262792554266828
race	sentence	system	anchor_a	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.22211383678584154	0.20436032442698013	0.23965380491168428
race	sentence	system	anchor_a	row_pooled	qwen2.5-0.5b-instruct	llama-3.1-8b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.27419436720765206	0.25383673172619475	0.29616900651001
race	sentence	system	anchor_a	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-7b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.20640747342162036	0.19075946456525278	0.2237341832613173
race	sentence	system	anchor_a	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-14b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.21629137233209278	0.1983703083781617	0.23627066561166296
race	sentence	system	anchor_a	row_pooled	qwen2.5-3b-instruct	llama-3.1-8b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.6539272824838503	0.6380043484305035	0.6692818957418305
race	sentence	system	anchor_a	row_pooled	qwen2.5-3b-instruct	qwen2.5-7b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.7525622885238831	0.7353707771742372	0.7673486223251169
race	sentence	system	anchor_a	row_pooled	qwen2.5-3b-instruct	qwen2.5-14b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.7545699416938713	0.739940224849706	0.7701018376175721
race	sentence	system	anchor_a	row_pooled	llama-3.1-8b-instruct	qwen2.5-7b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.6801435890858181	0.665658912641264	0.6945771500515603
race	sentence	system	anchor_a	row_pooled	llama-3.1-8b-instruct	qwen2.5-14b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.6916819013975329	0.6759766292739783	0.7071223054153788
race	sentence	system	anchor_a	row_pooled	qwen2.5-7b-instruct	qwen2.5-14b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.8580785362391026	0.8472459963154384	0.8682638000748842
race	sentence	system	anchor_a	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	F_attr_rv	rv	pair_specific_complete_case	14802	14802	4934	1.0	0.0053921226368620605	0.004287995456352267	0.007174805741961015
race	sentence	system	anchor_a	row_pooled	qwen2.5-0.5b-instruct	llama-3.1-8b-instruct	F_attr_rv	rv	pair_specific_complete_case	14802	14802	4934	1.0	0.04374203074575034	0.037564372353037376	0.05038906186325478
race	sentence	system	anchor_a	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-7b-instruct	F_attr_rv	rv	pair_specific_complete_case	14802	14802	4934	1.0	0.040355850271101314	0.035212047512981764	0.04606967188673287
race	sentence	system	anchor_a	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-14b-instruct	F_attr_rv	rv	pair_specific_complete_case	14802	14802	4934	1.0	0.006765433466519259	0.005233264151287695	0.00906367986244684
race	sentence	system	anchor_a	row_pooled	qwen2.5-3b-instruct	llama-3.1-8b-instruct	F_attr_rv	rv	pair_specific_complete_case	14802	14802	4934	1.0	0.20261492973818515	0.18932886106555175	0.2168559795320541
race	sentence	system	anchor_a	row_pooled	qwen2.5-3b-instruct	qwen2.5-7b-instruct	F_attr_rv	rv	pair_specific_complete_case	14802	14802	4934	1.0	0.29518745520169704	0.2799159156974947	0.31035826793119226
race	sentence	system	anchor_a	row_pooled	qwen2.5-3b-instruct	qwen2.5-14b-instruct	F_attr_rv	rv	pair_specific_complete_case	14802	14802	4934	1.0	0.31729818649707214	0.29938180614566784	0.33580119177275963
race	sentence	system	anchor_a	row_pooled	llama-3.1-8b-instruct	qwen2.5-7b-instruct	F_attr_rv	rv	pair_specific_complete_case	14802	14802	4934	1.0	0.33731774196861086	0.3220857645177102	0.35353822475699404
race	sentence	system	anchor_a	row_pooled	llama-3.1-8b-instruct	qwen2.5-14b-instruct	F_attr_rv	rv	pair_specific_complete_case	14802	14802	4934	1.0	0.16318354769727664	0.14993105533298592	0.17675775840912056
race	sentence	system	anchor_a	row_pooled	qwen2.5-7b-instruct	qwen2.5-14b-instruct	F_attr_rv	rv	pair_specific_complete_case	14802	14802	4934	1.0	0.35615683304240486	0.34036294822292595	0.37168498721396065
race	sentence	user	anchor_a	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.22211383678584154	0.20436032442698013	0.23965380491168428
race	sentence	user	anchor_a	row_pooled	qwen2.5-0.5b-instruct	llama-3.1-8b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.27419436720765206	0.25383673172619475	0.29616900651001
race	sentence	user	anchor_a	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-7b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.20640747342162036	0.19075946456525278	0.2237341832613173
race	sentence	user	anchor_a	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-14b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.21629137233209278	0.1983703083781617	0.23627066561166296
race	sentence	user	anchor_a	row_pooled	qwen2.5-3b-instruct	llama-3.1-8b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.6539272824838503	0.6380043484305035	0.6692818957418305
race	sentence	user	anchor_a	row_pooled	qwen2.5-3b-instruct	qwen2.5-7b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.7525622885238831	0.7353707771742372	0.7673486223251169
race	sentence	user	anchor_a	row_pooled	qwen2.5-3b-instruct	qwen2.5-14b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.7545699416938713	0.739940224849706	0.7701018376175721
race	sentence	user	anchor_a	row_pooled	llama-3.1-8b-instruct	qwen2.5-7b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.6801435890858181	0.665658912641264	0.6945771500515603
race	sentence	user	anchor_a	row_pooled	llama-3.1-8b-instruct	qwen2.5-14b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.6916819013975329	0.6759766292739783	0.7071223054153788
race	sentence	user	anchor_a	row_pooled	qwen2.5-7b-instruct	qwen2.5-14b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.8580785362391026	0.8472459963154384	0.8682638000748842
race	sentence	user	anchor_a	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	F_attr_rv	rv	pair_specific_complete_case	130742	130742	4934	1.0	0.058644206025460985	0.05478001008758351	0.06276412957996434
race	sentence	user	anchor_a	row_pooled	qwen2.5-0.5b-instruct	llama-3.1-8b-instruct	F_attr_rv	rv	pair_specific_complete_case	130742	130742	4934	1.0	0.0979399389991899	0.0929456641242994	0.10408196106106071
race	sentence	user	anchor_a	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-7b-instruct	F_attr_rv	rv	pair_specific_complete_case	130742	130742	4934	1.0	0.06951533284309716	0.0652285037361717	0.07435404545686895
race	sentence	user	anchor_a	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-14b-instruct	F_attr_rv	rv	pair_specific_complete_case	130742	130742	4934	1.0	0.047960721996913494	0.04409807970474621	0.05202206129766025
race	sentence	user	anchor_a	row_pooled	qwen2.5-3b-instruct	llama-3.1-8b-instruct	F_attr_rv	rv	pair_specific_complete_case	130742	130742	4934	1.0	0.33764196350121384	0.327762533221206	0.34724233537070703
race	sentence	user	anchor_a	row_pooled	qwen2.5-3b-instruct	qwen2.5-7b-instruct	F_attr_rv	rv	pair_specific_complete_case	130742	130742	4934	1.0	0.4384638621739247	0.427183791148094	0.4498027121319237
race	sentence	user	anchor_a	row_pooled	qwen2.5-3b-instruct	qwen2.5-14b-instruct	F_attr_rv	rv	pair_specific_complete_case	130742	130742	4934	1.0	0.4060097992914103	0.3939451651315332	0.4191742336147989
race	sentence	user	anchor_a	row_pooled	llama-3.1-8b-instruct	qwen2.5-7b-instruct	F_attr_rv	rv	pair_specific_complete_case	130742	130742	4934	1.0	0.45125627650777234	0.43921383101480876	0.46337837221036077
race	sentence	user	anchor_a	row_pooled	llama-3.1-8b-instruct	qwen2.5-14b-instruct	F_attr_rv	rv	pair_specific_complete_case	130742	130742	4934	1.0	0.42227899301851235	0.4105611003856217	0.43433429441366994
race	sentence	user	anchor_a	row_pooled	qwen2.5-7b-instruct	qwen2.5-14b-instruct	F_attr_rv	rv	pair_specific_complete_case	130742	130742	4934	1.0	0.6290314411613759	0.6172338446575265	0.6397867941047647
