benchmark	scope	floor_offset	model_s	model_t	current_policy_offset_s	current_policy_offset_t	metric	f_point
anli_r1	all	0.0	llama-3.1-8b-instruct	qwen2.5-7b-instruct	0.21144701501875876	0.3604753186543581	F_pred	0.5013552424124543
anli_r1	all	0.0	llama-3.1-8b-instruct	qwen2.5-7b-instruct	0.21144701501875876	0.3604753186543581	F_attr	0.30496237079235033
anli_r1	all	0.0	llama-3.1-8b-instruct	qwen2.5-14b-instruct	0.21144701501875876	0.4410736180027607	F_pred	0.4627869949464133
anli_r1	all	0.0	llama-3.1-8b-instruct	qwen2.5-14b-instruct	0.21144701501875876	0.4410736180027607	F_attr	0.3229604584651915
anli_r1	all	0.0	llama-3.1-8b-instruct	llama3.1-70b-instruct	0.21144701501875876	0.1862501907348633	F_pred	0.4760954005514897
anli_r1	all	0.0	llama-3.1-8b-instruct	llama3.1-70b-instruct	0.21144701501875876	0.1862501907348633	F_attr	0.3181753264906674
anli_r1	all	0.0	llama-3.1-8b-instruct	llama3.3-70b-instruct	0.21144701501875876	0.25875	F_pred	0.47707079616088205
anli_r1	all	0.0	llama-3.1-8b-instruct	llama3.3-70b-instruct	0.21144701501875876	0.25875	F_attr	0.3106324603927066
anli_r1	all	0.0	llama-3.1-8b-instruct	llama4-maverick-17b-128e-instruct	0.21144701501875876	0.315	F_pred	0.46627809554693955
anli_r1	all	0.0	llama-3.1-8b-instruct	llama4-maverick-17b-128e-instruct	0.21144701501875876	0.315	F_attr	0.28826739154900455
anli_r1	all	0.0	llama-3.1-8b-instruct	gpt-4o	0.21144701501875876	0.27375	F_pred	0.44383139024633983
anli_r1	all	0.0	llama-3.1-8b-instruct	gpt-4o	0.21144701501875876	0.27375	F_attr	0.24059606659670152
anli_r1	all	0.0	llama-3.1-8b-instruct	gpt-4-1	0.21144701501875876	0.40750000000000003	F_pred	0.40667233375493206
anli_r1	all	0.0	llama-3.1-8b-instruct	gpt-4-1	0.21144701501875876	0.40750000000000003	F_attr	0.21025752849934623
anli_r1	all	0.0	llama-3.1-8b-instruct	gemini-2-5-flash-lite-vertex	0.21144701501875876	0.19768812179565431	F_pred	0.4475693143366157
anli_r1	all	0.0	llama-3.1-8b-instruct	gemini-2-5-flash-lite-vertex	0.21144701501875876	0.19768812179565431	F_attr	0.18845781549230387
anli_r1	all	0.0	qwen2.5-7b-instruct	qwen2.5-14b-instruct	0.3604753186543581	0.4410736180027607	F_pred	0.628221629177609
anli_r1	all	0.0	qwen2.5-7b-instruct	qwen2.5-14b-instruct	0.3604753186543581	0.4410736180027607	F_attr	0.5194206933469198
anli_r1	all	0.0	qwen2.5-7b-instruct	llama3.1-70b-instruct	0.3604753186543581	0.1862501907348633	F_pred	0.5821059155031486
anli_r1	all	0.0	qwen2.5-7b-instruct	llama3.1-70b-instruct	0.3604753186543581	0.1862501907348633	F_attr	0.4508705063152003
anli_r1	all	0.0	qwen2.5-7b-instruct	llama3.3-70b-instruct	0.3604753186543581	0.25875	F_pred	0.557517903442027
anli_r1	all	0.0	qwen2.5-7b-instruct	llama3.3-70b-instruct	0.3604753186543581	0.25875	F_attr	0.3916957195129578
anli_r1	all	0.0	qwen2.5-7b-instruct	llama4-maverick-17b-128e-instruct	0.3604753186543581	0.315	F_pred	0.5702296569460202
anli_r1	all	0.0	qwen2.5-7b-instruct	llama4-maverick-17b-128e-instruct	0.3604753186543581	0.315	F_attr	0.4135233937139578
anli_r1	all	0.0	qwen2.5-7b-instruct	gpt-4o	0.3604753186543581	0.27375	F_pred	0.5363257474499575
anli_r1	all	0.0	qwen2.5-7b-instruct	gpt-4o	0.3604753186543581	0.27375	F_attr	0.3638223329196276
anli_r1	all	0.0	qwen2.5-7b-instruct	gpt-4-1	0.3604753186543581	0.40750000000000003	F_pred	0.5302781721136451
anli_r1	all	0.0	qwen2.5-7b-instruct	gpt-4-1	0.3604753186543581	0.40750000000000003	F_attr	0.4168545396758346
anli_r1	all	0.0	qwen2.5-7b-instruct	gemini-2-5-flash-lite-vertex	0.3604753186543581	0.19768812179565431	F_pred	0.5324229283268379
anli_r1	all	0.0	qwen2.5-7b-instruct	gemini-2-5-flash-lite-vertex	0.3604753186543581	0.19768812179565431	F_attr	0.24518480022536387
anli_r1	all	0.0	qwen2.5-14b-instruct	llama3.1-70b-instruct	0.4410736180027607	0.1862501907348633	F_pred	0.7258905940265897
anli_r1	all	0.0	qwen2.5-14b-instruct	llama3.1-70b-instruct	0.4410736180027607	0.1862501907348633	F_attr	0.5062248345597938
anli_r1	all	0.0	qwen2.5-14b-instruct	llama3.3-70b-instruct	0.4410736180027607	0.25875	F_pred	0.713897975857133
anli_r1	all	0.0	qwen2.5-14b-instruct	llama3.3-70b-instruct	0.4410736180027607	0.25875	F_attr	0.4101488159945104
anli_r1	all	0.0	qwen2.5-14b-instruct	llama4-maverick-17b-128e-instruct	0.4410736180027607	0.315	F_pred	0.6822669880595467
anli_r1	all	0.0	qwen2.5-14b-instruct	llama4-maverick-17b-128e-instruct	0.4410736180027607	0.315	F_attr	0.4600899992402811
anli_r1	all	0.0	qwen2.5-14b-instruct	gpt-4o	0.4410736180027607	0.27375	F_pred	0.7198691239314371
anli_r1	all	0.0	qwen2.5-14b-instruct	gpt-4o	0.4410736180027607	0.27375	F_attr	0.4495729832847843
anli_r1	all	0.0	qwen2.5-14b-instruct	gpt-4-1	0.4410736180027607	0.40750000000000003	F_pred	0.71724421380913
anli_r1	all	0.0	qwen2.5-14b-instruct	gpt-4-1	0.4410736180027607	0.40750000000000003	F_attr	0.4965442894673078
anli_r1	all	0.0	qwen2.5-14b-instruct	gemini-2-5-flash-lite-vertex	0.4410736180027607	0.19768812179565431	F_pred	0.6393996179250679
anli_r1	all	0.0	qwen2.5-14b-instruct	gemini-2-5-flash-lite-vertex	0.4410736180027607	0.19768812179565431	F_attr	0.25276434250497065
anli_r1	all	0.0	llama3.1-70b-instruct	llama3.3-70b-instruct	0.1862501907348633	0.25875	F_pred	0.9109818116102099
anli_r1	all	0.0	llama3.1-70b-instruct	llama3.3-70b-instruct	0.1862501907348633	0.25875	F_attr	0.7587508427348566
anli_r1	all	0.0	llama3.1-70b-instruct	llama4-maverick-17b-128e-instruct	0.1862501907348633	0.315	F_pred	0.6975685570828066
anli_r1	all	0.0	llama3.1-70b-instruct	llama4-maverick-17b-128e-instruct	0.1862501907348633	0.315	F_attr	0.47445728402504533
anli_r1	all	0.0	llama3.1-70b-instruct	gpt-4o	0.1862501907348633	0.27375	F_pred	0.7870668458424024
anli_r1	all	0.0	llama3.1-70b-instruct	gpt-4o	0.1862501907348633	0.27375	F_attr	0.5067843870454228
anli_r1	all	0.0	llama3.1-70b-instruct	gpt-4-1	0.1862501907348633	0.40750000000000003	F_pred	0.7632743142770895
anli_r1	all	0.0	llama3.1-70b-instruct	gpt-4-1	0.1862501907348633	0.40750000000000003	F_attr	0.4549055963759885
anli_r1	all	0.0	llama3.1-70b-instruct	gemini-2-5-flash-lite-vertex	0.1862501907348633	0.19768812179565431	F_pred	0.6573899036340837
anli_r1	all	0.0	llama3.1-70b-instruct	gemini-2-5-flash-lite-vertex	0.1862501907348633	0.19768812179565431	F_attr	0.3400123446023425
anli_r1	all	0.0	llama3.3-70b-instruct	llama4-maverick-17b-128e-instruct	0.25875	0.315	F_pred	0.6912024096636116
anli_r1	all	0.0	llama3.3-70b-instruct	llama4-maverick-17b-128e-instruct	0.25875	0.315	F_attr	0.4579026163889944
anli_r1	all	0.0	llama3.3-70b-instruct	gpt-4o	0.25875	0.27375	F_pred	0.7849374882312428
anli_r1	all	0.0	llama3.3-70b-instruct	gpt-4o	0.25875	0.27375	F_attr	0.5204086738721146
anli_r1	all	0.0	llama3.3-70b-instruct	gpt-4-1	0.25875	0.40750000000000003	F_pred	0.7225574471251399
anli_r1	all	0.0	llama3.3-70b-instruct	gpt-4-1	0.25875	0.40750000000000003	F_attr	0.38451064811155217
anli_r1	all	0.0	llama3.3-70b-instruct	gemini-2-5-flash-lite-vertex	0.25875	0.19768812179565431	F_pred	0.6313132702575707
anli_r1	all	0.0	llama3.3-70b-instruct	gemini-2-5-flash-lite-vertex	0.25875	0.19768812179565431	F_attr	0.3594352683681514
anli_r1	all	0.0	llama4-maverick-17b-128e-instruct	gpt-4o	0.315	0.27375	F_pred	0.6928693181136785
anli_r1	all	0.0	llama4-maverick-17b-128e-instruct	gpt-4o	0.315	0.27375	F_attr	0.41651966089205217
anli_r1	all	0.0	llama4-maverick-17b-128e-instruct	gpt-4-1	0.315	0.40750000000000003	F_pred	0.656261057769258
anli_r1	all	0.0	llama4-maverick-17b-128e-instruct	gpt-4-1	0.315	0.40750000000000003	F_attr	0.390747271045947
anli_r1	all	0.0	llama4-maverick-17b-128e-instruct	gemini-2-5-flash-lite-vertex	0.315	0.19768812179565431	F_pred	0.6285856661045596
anli_r1	all	0.0	llama4-maverick-17b-128e-instruct	gemini-2-5-flash-lite-vertex	0.315	0.19768812179565431	F_attr	0.34104451660341417
anli_r1	all	0.0	gpt-4o	gpt-4-1	0.27375	0.40750000000000003	F_pred	0.8466692190802638
anli_r1	all	0.0	gpt-4o	gpt-4-1	0.27375	0.40750000000000003	F_attr	0.5222055108197239
anli_r1	all	0.0	gpt-4o	gemini-2-5-flash-lite-vertex	0.27375	0.19768812179565431	F_pred	0.6758795375815299
anli_r1	all	0.0	gpt-4o	gemini-2-5-flash-lite-vertex	0.27375	0.19768812179565431	F_attr	0.2846627198950933
anli_r1	all	0.0	gpt-4-1	gemini-2-5-flash-lite-vertex	0.40750000000000003	0.19768812179565431	F_pred	0.6995373267917687
anli_r1	all	0.0	gpt-4-1	gemini-2-5-flash-lite-vertex	0.40750000000000003	0.19768812179565431	F_attr	0.2798995517004558
anli_r1	all	1.0	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	0.18226200781011734	0.2937333440123824	F_pred	0.10534410652073575
anli_r1	all	1.0	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	0.18226200781011734	0.2937333440123824	F_attr	0.05958463677141557
anli_r1	all	1.0	qwen2.5-0.5b-instruct	llama-3.1-8b-instruct	0.18226200781011734	0.21144701501875876	F_pred	0.16252629814184097
anli_r1	all	1.0	qwen2.5-0.5b-instruct	llama-3.1-8b-instruct	0.18226200781011734	0.21144701501875876	F_attr	0.057654945958238085
anli_r1	all	1.0	qwen2.5-0.5b-instruct	qwen2.5-7b-instruct	0.18226200781011734	0.3604753186543581	F_pred	0.08841671659657543
anli_r1	all	1.0	qwen2.5-0.5b-instruct	qwen2.5-7b-instruct	0.18226200781011734	0.3604753186543581	F_attr	0.18648560562702085
anli_r1	all	1.0	qwen2.5-0.5b-instruct	qwen2.5-14b-instruct	0.18226200781011734	0.4410736180027607	F_pred	0.040768091634502686
anli_r1	all	1.0	qwen2.5-0.5b-instruct	qwen2.5-14b-instruct	0.18226200781011734	0.4410736180027607	F_attr	0.15509928173690563
anli_r1	all	1.0	qwen2.5-0.5b-instruct	llama3.1-70b-instruct	0.18226200781011734	0.1862501907348633	F_pred	0.038203995663761814
anli_r1	all	1.0	qwen2.5-0.5b-instruct	llama3.1-70b-instruct	0.18226200781011734	0.1862501907348633	F_attr	0.0830491060786446
anli_r1	all	1.0	qwen2.5-0.5b-instruct	llama3.3-70b-instruct	0.18226200781011734	0.25875	F_pred	0.030975792153776674
anli_r1	all	1.0	qwen2.5-0.5b-instruct	llama3.3-70b-instruct	0.18226200781011734	0.25875	F_attr	0.028550092719391726
anli_r1	all	1.0	qwen2.5-0.5b-instruct	llama4-maverick-17b-128e-instruct	0.18226200781011734	0.315	F_pred	0.058603385609344034
anli_r1	all	1.0	qwen2.5-0.5b-instruct	llama4-maverick-17b-128e-instruct	0.18226200781011734	0.315	F_attr	0.08062544716669265
anli_r1	all	1.0	qwen2.5-0.5b-instruct	gpt-4o	0.18226200781011734	0.27375	F_pred	0.03415461341254976
anli_r1	all	1.0	qwen2.5-0.5b-instruct	gpt-4o	0.18226200781011734	0.27375	F_attr	0.046327680820996676
anli_r1	all	1.0	qwen2.5-0.5b-instruct	gpt-4-1	0.18226200781011734	0.40750000000000003	F_pred	0.020477263336661874
anli_r1	all	1.0	qwen2.5-0.5b-instruct	gpt-4-1	0.18226200781011734	0.40750000000000003	F_attr	0.13150057230406786
anli_r1	all	1.0	qwen2.5-0.5b-instruct	gemini-2-5-flash-lite-vertex	0.18226200781011734	0.19768812179565431	F_pred	0.07356759791384683
anli_r1	all	1.0	qwen2.5-0.5b-instruct	gemini-2-5-flash-lite-vertex	0.18226200781011734	0.19768812179565431	F_attr	0.06801822907692225
anli_r1	all	1.0	qwen2.5-3b-instruct	llama-3.1-8b-instruct	0.2937333440123824	0.21144701501875876	F_pred	0.4217097533077539
anli_r1	all	1.0	qwen2.5-3b-instruct	llama-3.1-8b-instruct	0.2937333440123824	0.21144701501875876	F_attr	0.32868075752925396
anli_r1	all	1.0	qwen2.5-3b-instruct	qwen2.5-7b-instruct	0.2937333440123824	0.3604753186543581	F_pred	0.5044574385019137
