artifact_role	candidate_id	selection_status	cohort	pair_population	benchmark	pregrouper	scope	requested_scope	resolved_scope	contrast	requested_contrast	resolved_source_contrast	resolved_target_contrast	readout_contrast	availability_status	unavailable_reason	api_infinity_policy	aggregation	model_s	model_t	metric	statistic	n_observations	n_prompts	f_point	f_lo	f_hi
analysis	not_applicable	not_applicable	paper	open_open	race	sentence	all	all	prompt_level_full_dialog	canonical	canonical	correct_answer_minus_logsumexp_other_answers	correct_answer_minus_logsumexp_other_answers	not_applicable	available		drop	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	F_pred	spearman	4934	4934	0.3989925586140281	0.3728338768305967	0.42367765989457323
analysis	not_applicable	not_applicable	paper	open_open	race	sentence	all	all	prompt_level_full_dialog	canonical	canonical	correct_answer_minus_logsumexp_other_answers	correct_answer_minus_logsumexp_other_answers	not_applicable	available		drop	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	F_pred	pearson_r2	4934	4934	0.12425209699824569	0.1084968074039896	0.13999932439972299
analysis	not_applicable	not_applicable	paper	open_open	race	sentence	all	all	prompt_level_full_dialog	canonical	canonical	correct_answer_minus_logsumexp_other_answers	correct_answer_minus_logsumexp_other_answers	not_applicable	available		drop	row_pooled	qwen2.5-0.5b-instruct	llama-3.1-8b-instruct	F_pred	spearman	4934	4934	0.4227865326232747	0.398634420762558	0.44649748558050306
analysis	not_applicable	not_applicable	paper	open_open	race	sentence	all	all	prompt_level_full_dialog	canonical	canonical	correct_answer_minus_logsumexp_other_answers	correct_answer_minus_logsumexp_other_answers	not_applicable	available		drop	row_pooled	qwen2.5-0.5b-instruct	llama-3.1-8b-instruct	F_pred	pearson_r2	4934	4934	0.1735250882377705	0.1536750685055935	0.1938569384781404
analysis	not_applicable	not_applicable	paper	open_open	race	sentence	all	all	prompt_level_full_dialog	canonical	canonical	correct_answer_minus_logsumexp_other_answers	correct_answer_minus_logsumexp_other_answers	not_applicable	available		drop	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-7b-instruct	F_pred	spearman	4934	4934	0.3986315119601963	0.37418307790593197	0.42297776349977295
analysis	not_applicable	not_applicable	paper	open_open	race	sentence	all	all	prompt_level_full_dialog	canonical	canonical	correct_answer_minus_logsumexp_other_answers	correct_answer_minus_logsumexp_other_answers	not_applicable	available		drop	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-7b-instruct	F_pred	pearson_r2	4934	4934	0.12711293211096306	0.11133877763022636	0.14315611579179108
analysis	not_applicable	not_applicable	paper	open_open	race	sentence	all	all	prompt_level_full_dialog	canonical	canonical	correct_answer_minus_logsumexp_other_answers	correct_answer_minus_logsumexp_other_answers	not_applicable	available		drop	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-14b-instruct	F_pred	spearman	4934	4934	0.35695374807234903	0.3324035659280364	0.38427779874701845
analysis	not_applicable	not_applicable	paper	open_open	race	sentence	all	all	prompt_level_full_dialog	canonical	canonical	correct_answer_minus_logsumexp_other_answers	correct_answer_minus_logsumexp_other_answers	not_applicable	available		drop	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-14b-instruct	F_pred	pearson_r2	4934	4934	0.10357846373302104	0.09056316697593633	0.11867381973087479
analysis	not_applicable	not_applicable	paper	open_hosted	race	sentence	all	all	prompt_level_full_dialog	canonical	canonical	correct_answer_minus_logsumexp_other_answers	correct_answer_minus_logsumexp_other_answers	not_applicable	available		drop	row_pooled	qwen2.5-0.5b-instruct	llama3.1-70b-instruct	F_pred	spearman	4934	4934	0.31221887722389385	0.2879651578903981	0.3390826558155899
analysis	not_applicable	not_applicable	paper	open_hosted	race	sentence	all	all	prompt_level_full_dialog	canonical	canonical	correct_answer_minus_logsumexp_other_answers	correct_answer_minus_logsumexp_other_answers	not_applicable	available		drop	row_pooled	qwen2.5-0.5b-instruct	llama3.1-70b-instruct	F_pred	pearson_r2	4934	4934	0.09985086581342248	0.08457639359145934	0.11736974074334851
