benchmark	pregrouper	cohort	missingness_policy	scope	aggregation	model_s	model_t	metric	statistic	expected_observations	n_observations	n_prompts	observation_coverage	f_point	f_lo	f_hi	n_bootstrap	n_bootstrap_valid	aligned_key_sha256
race	sentence	open	strict_complete	prediction	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	signed_frobenius_r	pearson_r	4934	4934	4934	1.0	0.5280496563019126	0.5147207637315784	0.5406734319544154	500	500	9129492352050a90469e129e227aa64981779ed90dcc995e4392548fd068d6b2
race	sentence	open	strict_complete	prediction	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	direction_cosine	mean_cosine	4934	4934	4934	1.0	0.41205420781949953	0.3959801843439256	0.4282024882961832	500	500	9129492352050a90469e129e227aa64981779ed90dcc995e4392548fd068d6b2
race	sentence	open	strict_complete	prediction	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	linear_cka	cka	4934	4934	4934	1.0	0.28440995827876503	0.27107781070289233	0.2996192739793913	500	500	9129492352050a90469e129e227aa64981779ed90dcc995e4392548fd068d6b2
race	sentence	open	strict_complete	all	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	signed_frobenius_r	pearson_r	145544	145544	4934	1.0	0.25584110302809515	0.24814859884327814	0.2644904689569107	500	500	22b33c7df61e6bea55727cb267f6e5f9db519b3b362814b0cd9c06c4c20aab13
race	sentence	open	strict_complete	all	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	direction_cosine	mean_cosine	145544	145544	4934	1.0	0.07862938032743809	0.07355700521409567	0.08402849891141578	500	500	22b33c7df61e6bea55727cb267f6e5f9db519b3b362814b0cd9c06c4c20aab13
race	sentence	open	strict_complete	all	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	linear_cka	cka	145544	145544	4934	1.0	0.07186011337396059	0.06677897225713648	0.07770493696030953	500	500	22b33c7df61e6bea55727cb267f6e5f9db519b3b362814b0cd9c06c4c20aab13
race	sentence	open	strict_complete	all	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	aitchison_magnitude_r	pearson_r	145544	145544	4934	1.0	0.4855903128448246	0.4782015094526301	0.4934614458539339	500	500	22b33c7df61e6bea55727cb267f6e5f9db519b3b362814b0cd9c06c4c20aab13
race	sentence	open	strict_complete	all	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	fisher_rao_magnitude_r	pearson_r	145544	145544	4934	1.0	0.3490349594584075	0.34076597752969934	0.35761515094563817	500	500	22b33c7df61e6bea55727cb267f6e5f9db519b3b362814b0cd9c06c4c20aab13
race	sentence	open	strict_complete	all	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	fisher_local_magnitude_r	pearson_r	145544	145544	4934	1.0	0.0672617431972732	0.05739507261404152	0.07713191844196451	500	500	22b33c7df61e6bea55727cb267f6e5f9db519b3b362814b0cd9c06c4c20aab13
race	sentence	open	strict_complete	all	prompt_equal	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	signed_frobenius_r	pearson_r	145544	145544	4934	1.0	0.25654230736108424	0.2487808854673682	0.26564303910228587	500	500	22b33c7df61e6bea55727cb267f6e5f9db519b3b362814b0cd9c06c4c20aab13
race	sentence	open	strict_complete	all	prompt_equal	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	direction_cosine	mean_cosine	145544	145544	4934	1.0	0.08481071437881314	0.08002873503326502	0.09010937696086463	500	500	22b33c7df61e6bea55727cb267f6e5f9db519b3b362814b0cd9c06c4c20aab13
race	sentence	open	strict_complete	all	prompt_equal	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	linear_cka	cka	145544	145544	4934	1.0	0.07267420148078949	0.06757791690904091	0.07869370635123726	500	500	22b33c7df61e6bea55727cb267f6e5f9db519b3b362814b0cd9c06c4c20aab13
race	sentence	open	strict_complete	all	prompt_equal	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	aitchison_magnitude_r	pearson_r	145544	145544	4934	1.0	0.4763117850817449	0.46860817855478837	0.48435184277588544	500	500	22b33c7df61e6bea55727cb267f6e5f9db519b3b362814b0cd9c06c4c20aab13
race	sentence	open	strict_complete	all	prompt_equal	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	fisher_rao_magnitude_r	pearson_r	145544	145544	4934	1.0	0.3444223726285436	0.3357090988641784	0.3529408851996686	500	500	22b33c7df61e6bea55727cb267f6e5f9db519b3b362814b0cd9c06c4c20aab13
