reconciliation_id	source_state	source_locator	source_sha256	paper_location	benchmark	pregrouper	segment_grid_id	declared_scope	executed_scope	declared_contrast	executed_contrast	cohort	pair_set	metric	statistic	aggregation	missingness_policy	value_component	value	display_value	n_pairs	effective_pairs	data_status	specification_status	revision_action	reported_metric	reported_statistic	computed_metric	computed_statistic	numerical_reproduction_status	model_identity_status	model_snapshot_identity	method_id	estimand_id	comparison_status	delta_from_published	note
Table 1:boolq:sentence:F_align:open:max	archive	archive/boolq_sentence_consolidated.tsv	1309dcb70d961e394f9a832dc3ce05ccd85c0d81bdf3a303b9ede1dd5cfcd10b	Table 1	boolq	sentence	boolq_sentence_paper_full_dialog	user	all	canonical	canonical	paper_11	open	F_align	pearson_r2	row_pooled_then_model_pair_distribution	pairwise_drop_nonfinite	max	0.29422610637445706	0.294226106374	10	"[""llama-3.1-8b-instruct<->qwen2.5-0.5b-instruct"",""llama-3.1-8b-instruct<->qwen2.5-14b-instruct"",""llama-3.1-8b-instruct<->qwen2.5-3b-instruct"",""llama-3.1-8b-instruct<->qwen2.5-7b-instruct"",""qwen2.5-0.5b-instruct<->qwen2.5-14b-instruct"",""qwen2.5-0.5b-instruct<->qwen2.5-3b-instruct"",""qwen2.5-0.5b-instruct<->qwen2.5-7b-instruct"",""qwen2.5-14b-instruct<->qwen2.5-3b-instruct"",""qwen2.5-14b-instruct<->qwen2.5-7b-instruct"",""qwen2.5-3b-instruct<->qwen2.5-7b-instruct""]"	complete	scope_mismatch	undecided	F_align	pearson_r2	F_align	pearson_r2	matches_published_number	historical_archived_snapshot	historical_archived_snapshot	method-v1:263e206cad703a7c169e	estimand-v1:4beb674e9b71d4dfa0bf	comparable	0.00022610637445708015	
Table 1:boolq:sentence:F_align:open:max	corrected	corrected/f_table.tsv	e753aa974098615f654496125886285bb03113e70e97577588ba92c3e5dce4da	Table 1	boolq	sentence	boolq_sentence_paper_full_dialog	user	all	canonical	canonical	paper_11	open	F_align	pearson_r2	row_pooled_then_model_pair_distribution	pairwise_drop_nonfinite	max	0.2962221545231226	0.296222154523	10	"[""llama-3.1-8b-instruct<->qwen2.5-0.5b-instruct"",""llama-3.1-8b-instruct<->qwen2.5-14b-instruct"",""llama-3.1-8b-instruct<->qwen2.5-3b-instruct"",""llama-3.1-8b-instruct<->qwen2.5-7b-instruct"",""qwen2.5-0.5b-instruct<->qwen2.5-14b-instruct"",""qwen2.5-0.5b-instruct<->qwen2.5-3b-instruct"",""qwen2.5-0.5b-instruct<->qwen2.5-7b-instruct"",""qwen2.5-14b-instruct<->qwen2.5-3b-instruct"",""qwen2.5-14b-instruct<->qwen2.5-7b-instruct"",""qwen2.5-3b-instruct<->qwen2.5-7b-instruct""]"	complete	scope_mismatch	undecided	F_align	pearson_r2	F_align	pearson_r2	not_comparable_model_snapshot	version_not_verifiable	unverified	method-v1:263e206cad703a7c169e	estimand-v1:4e098502f761078a0344	nominally_comparable_same_method		Hosted endpoint names do not establish immutable provider snapshots. A corrected result without explicit snapshot identifiers is only nominally comparable under the same method.
Table 1:boolq:sentence:F_align:open:max	published	audited_claim_set/table_1		Table 1	boolq	sentence	boolq_sentence_paper_full_dialog	user	all	canonical	canonical	paper_11	open	F_align	pearson_r2	row_pooled_then_model_pair_distribution	pairwise_drop_nonfinite	max	0.294	.294	10	"[""llama-3.1-8b-instruct<->qwen2.5-0.5b-instruct"",""llama-3.1-8b-instruct<->qwen2.5-14b-instruct"",""llama-3.1-8b-instruct<->qwen2.5-3b-instruct"",""llama-3.1-8b-instruct<->qwen2.5-7b-instruct"",""qwen2.5-0.5b-instruct<->qwen2.5-14b-instruct"",""qwen2.5-0.5b-instruct<->qwen2.5-3b-instruct"",""qwen2.5-0.5b-instruct<->qwen2.5-7b-instruct"",""qwen2.5-14b-instruct<->qwen2.5-3b-instruct"",""qwen2.5-14b-instruct<->qwen2.5-7b-instruct"",""qwen2.5-3b-instruct<->qwen2.5-7b-instruct""]"	published	scope_mismatch	undecided	F_align	pearson_r2	F_align	pearson_r2	reference	historical_archived_snapshot	historical_archived_snapshot	method-v1:263e206cad703a7c169e	estimand-v1:4beb674e9b71d4dfa0bf	reference		
Table 1:boolq:sentence:F_align:open:median	archive	archive/boolq_sentence_consolidated.tsv	1309dcb70d961e394f9a832dc3ce05ccd85c0d81bdf3a303b9ede1dd5cfcd10b	Table 1	boolq	sentence	boolq_sentence_paper_full_dialog	user	all	canonical	canonical	paper_11	open	F_align	pearson_r2	row_pooled_then_model_pair_distribution	pairwise_drop_nonfinite	median	0.20009616662433338	0.200096166624	10	"[""llama-3.1-8b-instruct<->qwen2.5-0.5b-instruct"",""llama-3.1-8b-instruct<->qwen2.5-14b-instruct"",""llama-3.1-8b-instruct<->qwen2.5-3b-instruct"",""llama-3.1-8b-instruct<->qwen2.5-7b-instruct"",""qwen2.5-0.5b-instruct<->qwen2.5-14b-instruct"",""qwen2.5-0.5b-instruct<->qwen2.5-3b-instruct"",""qwen2.5-0.5b-instruct<->qwen2.5-7b-instruct"",""qwen2.5-14b-instruct<->qwen2.5-3b-instruct"",""qwen2.5-14b-instruct<->qwen2.5-7b-instruct"",""qwen2.5-3b-instruct<->qwen2.5-7b-instruct""]"	complete	scope_mismatch	undecided	F_align	pearson_r2	F_align	pearson_r2	matches_published_number	historical_archived_snapshot	historical_archived_snapshot	method-v1:aea02f5972e090421c4b	estimand-v1:fe24b117b13978fd5211	comparable	9.616662433337142e-05	
Table 1:boolq:sentence:F_align:open:median	corrected	corrected/f_table.tsv	e753aa974098615f654496125886285bb03113e70e97577588ba92c3e5dce4da	Table 1	boolq	sentence	boolq_sentence_paper_full_dialog	user	all	canonical	canonical	paper_11	open	F_align	pearson_r2	row_pooled_then_model_pair_distribution	pairwise_drop_nonfinite	median	0.1986905695095838	0.19869056951	10	"[""llama-3.1-8b-instruct<->qwen2.5-0.5b-instruct"",""llama-3.1-8b-instruct<->qwen2.5-14b-instruct"",""llama-3.1-8b-instruct<->qwen2.5-3b-instruct"",""llama-3.1-8b-instruct<->qwen2.5-7b-instruct"",""qwen2.5-0.5b-instruct<->qwen2.5-14b-instruct"",""qwen2.5-0.5b-instruct<->qwen2.5-3b-instruct"",""qwen2.5-0.5b-instruct<->qwen2.5-7b-instruct"",""qwen2.5-14b-instruct<->qwen2.5-3b-instruct"",""qwen2.5-14b-instruct<->qwen2.5-7b-instruct"",""qwen2.5-3b-instruct<->qwen2.5-7b-instruct""]"	complete	scope_mismatch	undecided	F_align	pearson_r2	F_align	pearson_r2	not_comparable_model_snapshot	version_not_verifiable	unverified	method-v1:aea02f5972e090421c4b	estimand-v1:8099a295b2d98c26f039	nominally_comparable_same_method		Hosted endpoint names do not establish immutable provider snapshots. A corrected result without explicit snapshot identifiers is only nominally comparable under the same method.
Table 1:boolq:sentence:F_align:open:median	published	audited_claim_set/table_1		Table 1	boolq	sentence	boolq_sentence_paper_full_dialog	user	all	canonical	canonical	paper_11	open	F_align	pearson_r2	row_pooled_then_model_pair_distribution	pairwise_drop_nonfinite	median	0.2	.200	10	"[""llama-3.1-8b-instruct<->qwen2.5-0.5b-instruct"",""llama-3.1-8b-instruct<->qwen2.5-14b-instruct"",""llama-3.1-8b-instruct<->qwen2.5-3b-instruct"",""llama-3.1-8b-instruct<->qwen2.5-7b-instruct"",""qwen2.5-0.5b-instruct<->qwen2.5-14b-instruct"",""qwen2.5-0.5b-instruct<->qwen2.5-3b-instruct"",""qwen2.5-0.5b-instruct<->qwen2.5-7b-instruct"",""qwen2.5-14b-instruct<->qwen2.5-3b-instruct"",""qwen2.5-14b-instruct<->qwen2.5-7b-instruct"",""qwen2.5-3b-instruct<->qwen2.5-7b-instruct""]"	published	scope_mismatch	undecided	F_align	pearson_r2	F_align	pearson_r2	reference	historical_archived_snapshot	historical_archived_snapshot	method-v1:aea02f5972e090421c4b	estimand-v1:fe24b117b13978fd5211	reference		
Table 1:boolq:sentence:F_align:open:min	archive	archive/boolq_sentence_consolidated.tsv	1309dcb70d961e394f9a832dc3ce05ccd85c0d81bdf3a303b9ede1dd5cfcd10b	Table 1	boolq	sentence	boolq_sentence_paper_full_dialog	user	all	canonical	canonical	paper_11	open	F_align	pearson_r2	row_pooled_then_model_pair_distribution	pairwise_drop_nonfinite	min	0.0577164775516184	0.0577164775516	10	"[""llama-3.1-8b-instruct<->qwen2.5-0.5b-instruct"",""llama-3.1-8b-instruct<->qwen2.5-14b-instruct"",""llama-3.1-8b-instruct<->qwen2.5-3b-instruct"",""llama-3.1-8b-instruct<->qwen2.5-7b-instruct"",""qwen2.5-0.5b-instruct<->qwen2.5-14b-instruct"",""qwen2.5-0.5b-instruct<->qwen2.5-3b-instruct"",""qwen2.5-0.5b-instruct<->qwen2.5-7b-instruct"",""qwen2.5-14b-instruct<->qwen2.5-3b-instruct"",""qwen2.5-14b-instruct<->qwen2.5-7b-instruct"",""qwen2.5-3b-instruct<->qwen2.5-7b-instruct""]"	complete	scope_mismatch	undecided	F_align	pearson_r2	F_align	pearson_r2	matches_published_number	historical_archived_snapshot	historical_archived_snapshot	method-v1:b17bbfa16ba48337cf92	estimand-v1:6c5accf47adacb8f9db6	comparable	-0.000283522448381604	
Table 1:boolq:sentence:F_align:open:min	corrected	corrected/f_table.tsv	e753aa974098615f654496125886285bb03113e70e97577588ba92c3e5dce4da	Table 1	boolq	sentence	boolq_sentence_paper_full_dialog	user	all	canonical	canonical	paper_11	open	F_align	pearson_r2	row_pooled_then_model_pair_distribution	pairwise_drop_nonfinite	min	0.0576638771098546	0.0576638771099	10	"[""llama-3.1-8b-instruct<->qwen2.5-0.5b-instruct"",""llama-3.1-8b-instruct<->qwen2.5-14b-instruct"",""llama-3.1-8b-instruct<->qwen2.5-3b-instruct"",""llama-3.1-8b-instruct<->qwen2.5-7b-instruct"",""qwen2.5-0.5b-instruct<->qwen2.5-14b-instruct"",""qwen2.5-0.5b-instruct<->qwen2.5-3b-instruct"",""qwen2.5-0.5b-instruct<->qwen2.5-7b-instruct"",""qwen2.5-14b-instruct<->qwen2.5-3b-instruct"",""qwen2.5-14b-instruct<->qwen2.5-7b-instruct"",""qwen2.5-3b-instruct<->qwen2.5-7b-instruct""]"	complete	scope_mismatch	undecided	F_align	pearson_r2	F_align	pearson_r2	not_comparable_model_snapshot	version_not_verifiable	unverified	method-v1:b17bbfa16ba48337cf92	estimand-v1:d6160fdd8867d865d610	nominally_comparable_same_method		Hosted endpoint names do not establish immutable provider snapshots. A corrected result without explicit snapshot identifiers is only nominally comparable under the same method.
Table 1:boolq:sentence:F_align:open:min	published	audited_claim_set/table_1		Table 1	boolq	sentence	boolq_sentence_paper_full_dialog	user	all	canonical	canonical	paper_11	open	F_align	pearson_r2	row_pooled_then_model_pair_distribution	pairwise_drop_nonfinite	min	0.058	.058	10	"[""llama-3.1-8b-instruct<->qwen2.5-0.5b-instruct"",""llama-3.1-8b-instruct<->qwen2.5-14b-instruct"",""llama-3.1-8b-instruct<->qwen2.5-3b-instruct"",""llama-3.1-8b-instruct<->qwen2.5-7b-instruct"",""qwen2.5-0.5b-instruct<->qwen2.5-14b-instruct"",""qwen2.5-0.5b-instruct<->qwen2.5-3b-instruct"",""qwen2.5-0.5b-instruct<->qwen2.5-7b-instruct"",""qwen2.5-14b-instruct<->qwen2.5-3b-instruct"",""qwen2.5-14b-instruct<->qwen2.5-7b-instruct"",""qwen2.5-3b-instruct<->qwen2.5-7b-instruct""]"	published	scope_mismatch	undecided	F_align	pearson_r2	F_align	pearson_r2	reference	historical_archived_snapshot	historical_archived_snapshot	method-v1:b17bbfa16ba48337cf92	estimand-v1:6c5accf47adacb8f9db6	reference		
Table 1:boolq:sentence:F_align_to_attr:all:max	archive	archive/boolq_sentence_consolidated.tsv	1309dcb70d961e394f9a832dc3ce05ccd85c0d81bdf3a303b9ede1dd5cfcd10b	Table 1	boolq	sentence	boolq_sentence_paper_full_dialog	user	all	canonical	canonical	paper_11	all	F_align_to_attr	pearson_r2	row_pooled_then_model_pair_distribution	pairwise_drop_nonfinite	max	0.3808601456538954	0.380860145654	50	"[""llama-3.1-8b-instruct->gemini-2-5-flash-lite-vertex"",""llama-3.1-8b-instruct->gpt-4-1"",""llama-3.1-8b-instruct->gpt-4o"",""llama-3.1-8b-instruct->llama3.1-70b-instruct"",""llama-3.1-8b-instruct->llama3.3-70b-instruct"",""llama-3.1-8b-instruct->llama4-maverick-17b-128e-instruct"",""llama-3.1-8b-instruct->qwen2.5-0.5b-instruct"",""llama-3.1-8b-instruct->qwen2.5-14b-instruct"",""llama-3.1-8b-instruct->qwen2.5-3b-instruct"",""llama-3.1-8b-instruct->qwen2.5-7b-instruct"",""qwen2.5-0.5b-instruct->gemini-2-5-flash-lite-vertex"",""qwen2.5-0.5b-instruct->gpt-4-1"",""qwen2.5-0.5b-instruct->gpt-4o"",""qwen2.5-0.5b-instruct->llama-3.1-8b-instruct"",""qwen2.5-0.5b-instruct->llama3.1-70b-instruct"",""qwen2.5-0.5b-instruct->llama3.3-70b-instruct"",""qwen2.5-0.5b-instruct->llama4-maverick-17b-128e-instruct"",""qwen2.5-0.5b-instruct->qwen2.5-14b-instruct"",""qwen2.5-0.5b-instruct->qwen2.5-3b-instruct"",""qwen2.5-0.5b-instruct->qwen2.5-7b-instruct"",""qwen2.5-14b-instruct->gemini-2-5-flash-lite-vertex"",""qwen2.5-14b-instruct->gpt-4-1"",""qwen2.5-14b-instruct->gpt-4o"",""qwen2.5-14b-instruct->llama-3.1-8b-instruct"",""qwen2.5-14b-instruct->llama3.1-70b-instruct"",""qwen2.5-14b-instruct->llama3.3-70b-instruct"",""qwen2.5-14b-instruct->llama4-maverick-17b-128e-instruct"",""qwen2.5-14b-instruct->qwen2.5-0.5b-instruct"",""qwen2.5-14b-instruct->qwen2.5-3b-instruct"",""qwen2.5-14b-instruct->qwen2.5-7b-instruct"",""qwen2.5-3b-instruct->gemini-2-5-flash-lite-vertex"",""qwen2.5-3b-instruct->gpt-4-1"",""qwen2.5-3b-instruct->gpt-4o"",""qwen2.5-3b-instruct->llama-3.1-8b-instruct"",""qwen2.5-3b-instruct->llama3.1-70b-instruct"",""qwen2.5-3b-instruct->llama3.3-70b-instruct"",""qwen2.5-3b-instruct->llama4-maverick-17b-128e-instruct"",""qwen2.5-3b-instruct->qwen2.5-0.5b-instruct"",""qwen2.5-3b-instruct->qwen2.5-14b-instruct"",""qwen2.5-3b-instruct->qwen2.5-7b-instruct"",""qwen2.5-7b-instruct->gemini-2-5-flash-lite-vertex"",""qwen2.5-7b-instruct->gpt-4-1"",""qwen2.5-7b-instruct->gpt-4o"",""qwen2.5-7b-instruct->llama-3.1-8b-instruct"",""qwen2.5-7b-instruct->llama3.1-70b-instruct"",""qwen2.5-7b-instruct->llama3.3-70b-instruct"",""qwen2.5-7b-instruct->llama4-maverick-17b-128e-instruct"",""qwen2.5-7b-instruct->qwen2.5-0.5b-instruct"",""qwen2.5-7b-instruct->qwen2.5-14b-instruct"",""qwen2.5-7b-instruct->qwen2.5-3b-instruct""]"	complete	scope_mismatch	undecided	F_align_to_attr	pearson_r2	F_align_to_attr	pearson_r2	matches_published_number	historical_archived_snapshot	historical_archived_snapshot	method-v1:36f77124796c18c4b62a	estimand-v1:66f7d2b2b15a72bf4e51	comparable	-0.00013985434610458425	
